Item,Frequency
travers,109
donné,109
big,108
coin,108
lune,108
afrique,108
bouge,107
présent,107
vice,107
no,106
nord,106
enfer,106
chante,106
of,106
œil,105
fasse,105
drogue,105
s’,105
couilles,105
tel,104
pote,104
facile,104
futur,104
pose,104
what,104
aimes,104
sent,103
mène,103
écris,103
armes,103
ombre,103
public,103
rouge,102
vaut,102
one,102
marseille,102
liberté,102
aucune,102
devenu,101
représente,101
sinon,101
destin,101
gosse,101
contrôle,100
-vous,100
ami,100
matin,100
flics,100
ainsi,100
diable,100
comprends,100
étaient,99
grands,98
ouvre,98
get,98
souffle,98
t’,98
fout,98
espère,97
milieu,97
rappelle,97
cru,97
né,97
rues,96
celles,96
merci,96
entendre,96
dedans,96
paradis,96
planète,95
rendre,95
know,95
génération,95
faute,95
scène,95
tire,94
go,94
affaire,94
album,94
cité,94
loi,93
crime,93
serais,93
dernière,93
pleine,93
tient,93
québec,93
classe,93
sors,92
lit,92
penser,92
bat,92
paraît,92
cash,92
instant,92
parlent,91
none,91
seulement,91
police,91
langue,91
visage,91
this,91
portes,91
huit,90
jeu,90
poids,90
hop,90
-je,90
tourne,90
bombe,90
grâce,90
pression,90
péter,89
mémoire,89
chien,89
envoie,89
mer,89
oublier,89
bête,89
soldat,89
perds,89
ferme,89
souvenirs,89
textes,89
mourir,89
mot,89
verre,89
changé,89
équipe,88
imagine,88
mode,88
page,88
jeunesse,87
simple,87
monte,87
attend,87
droite,87
âge,87
penses,87
plan,87
hip,87
violence,87
hein,87
attention,86
longtemps,86
bad,86
effet,86
miens,86
dure,86
français,86
réalité,86
ailes,86
aurai,86
nouvelle,85
quelle,85
tourner,85
arme,85
propre,84
truc,84
sales,84
terrain,84
-leur,84
dû,84
heureux,84
froid,84
traîne,84
balles,83
faisait,83
forme,83
roule,83
maman,83
got,83
calme,83
mômes,83
prennent,83
just,83
soirée,83
clair,83
faite,82
tape,82
commence,82
life,82
sérieux,82
pute,82
sert,82
piges,82
parmi,82
peuvent,81
prison,81
conscience,81
are,81
bruit,81
quelqu''un,81
appris,81
enfance,81
lois,80
voudrais,80
dessus,80
sombre,80
dents,80
fête,80
jure,80
hip-hop,80
papa,80
perd,80
star,80
succès,79
cesse,79
sud,79
cela,79
vision,79
aide,79
serai,78
ramène,78
stress,78
continue,78
on ,78
sol,78
politique,78
lourd,78
pète,78
douleur,78
doute,78
party,78
viennent,78
alcool,78
rôle,78
paroles,78
cerveau,77
poches,77
préfère,77
écrit,77
image,77
inquiète,77
connu,77
existe,77
voici,77
p''tit,77
na,77
pierre,77
frappe,77
têtes,77
soi,77
bande,76
faites,76
tomber,76
idées,76
payer,76
cons,76
justice,76
bord,76
venu,76
monsieur,75
pleurer,75
plaît,75
rentre,75
sexy,75
debout,75
vécu,75
top,75
coule,75
êtes,75
faim,74
prise,74
court,74
masse,74
business,74
morts,74
type,73
venir,73
disque,73
bois,73
journée,73
vrais,73
nuits,72
mères,72
rentrer,72
am,72
touche,72
histoires,72
fera,72
confiance,72
ailleurs,72
départ,72
quitte,72
mise,72
suite,72
vouloir,72
toé,71
ange,71
b,71
time,71
cour,71
p''tite,71
battre,71
trente,71
foule,71
grandi,70
millions,70
table,70
ambiance,70
gloire,70
drame,70
banlieue,70
rire,70
moyens,70
tas,69
biz,69
crise,69
live,69
bienvenue,69
assis,69
là-bas,69
zéro,69
message,69
cache,68
bang,68
rendu,68
ha,68
chambre,68
fume,68
moé,68
sortie,68
bled,68
âmes,68
blanche,68
proches,67
balle,67
pourrait,67
honte,67
roi,67
if,67
honneur,67
retrouve,67
discours,67
bons,67
souviens,67
girl,67
travail,67
coupe,67
gauche,67
marre,67
puisse,67
quinze,67
cible,67
pourra,66
attendant,66
baise,66
envers,66
fut,66
tranquille,66
mur,66
speed,66
beaux,66
-nous,66
n’,66
pars,66
voie,66
now,65
tours,65
crier,65
attaque,65
bientôt,65
show,65
sentiments,65
début,65
maître,65
sir,65
nature,65
risque,65
bats,65
garder,65
écrire,65
cœurs,64
respecte,64
faits,64
année,64
pareil,64
chercher,64
check,64
casser,64
caisse,64
sac,64
passent,64
regarder,64
dingue,64
oeil,64
encre,64
au-delà,64
vivant,64
d,63
hors,63
joie,63
